"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.851240167E0,-3.691323853E-1,-2.040257263E-1,9.907147980E0
1.861291167E0,7.544311523E-1,-1.589843903E0,9.557175751E0
1.871342167E0,1.404080200E-1,2.579136658E-1,1.025726990E1
1.881393167E0,6.188131714E-1,-7.644602966E-1,8.323291626E0
1.891444167E0,1.526824951E-1,-6.921606445E-1,1.065798660E1
1.901495167E0,9.532177734E-1,2.225871277E-1,9.151219940E0
1.911546167E0,1.064885559E0,-4.460723877E-1,1.155611893E1
1.921597167E0,-5.574407959E-1,-1.065035248E0,7.800728302E0
1.931648167E0,7.267387390E-1,4.947212219E-1,1.027208908E1
1.941699167E0,2.695594482E0,-1.903292084E0,1.136152359E1
1.951750167E0,8.119116211E-1,3.742218018E-3,7.943531342E0
1.961801167E0,1.373094635E0,-2.302062836E0,9.900262299E0
1.971853167E0,1.320703583E0,2.068698120E-1,1.021176453E1
1.981903167E0,2.377056885E0,-9.759704590E-1,9.655072174E0
1.991955167E0,2.298919373E0,-2.661465454E-1,9.528734894E0
2.002006167E0,3.024011536E0,-8.906478882E-1,1.098221237E1
2.012057167E0,1.989662476E0,-3.733236694E-1,1.013287857E1
2.022108167E0,3.012934570E0,8.114625549E-1,1.015398468E1
2.032159167E0,1.980531464E0,-9.035211182E-1,6.766977997E0
2.042210167E0,2.496807861E0,9.301657104E-1,1.269974075E1
2.052261167E0,1.468745728E0,3.412902832E-2,1.060634399E1
2.062312167E0,1.094374237E0,2.998115387E0,7.349416809E0
2.072363167E0,1.609902191E0,-1.884730682E0,1.174981613E1
2.082414167E0,-1.050814819E-1,2.358046417E0,9.122479706E0
2.092465167E0,4.625381470E-2,1.423539734E-1,9.118138733E0
2.102516167E0,3.183879089E-1,1.628613281E-1,1.063044388E1
2.112567167E0,1.293759613E0,3.586541748E-1,8.436456299E0
2.122618167E0,9.849517822E-1,-2.945874023E-1,9.647887115E0
2.132669167E0,1.326840820E0,1.078956299E0,1.062595322E1
2.142720167E0,-8.475375366E-1,-8.704399109E-1,6.537355499E0
2.152771167E0,-5.128335571E-1,1.792821808E0,9.954449615E0
2.162822167E0,-1.926493835E-1,5.754034424E-1,1.130524063E1
2.172873167E0,-1.357227631E0,1.184037781E0,9.106313324E0
2.182924167E0,-6.459068298E-1,7.792794800E-1,1.037238052E1
2.192975167E0,5.014572144E-2,4.258644104E-1,9.800120544E0
2.203026167E0,6.224057007E-1,7.429051208E-1,1.042477158E1
2.213077167E0,1.067879333E0,9.116043091E-2,9.136550446E0
2.223128167E0,1.309476929E0,-3.333567810E-1,8.610544281E0
2.233179167E0,2.927761688E0,2.634521484E-2,1.066726730E1
2.243230167E0,3.255130920E0,-1.413360901E0,1.030786469E1
2.253282167E0,3.377426605E0,-3.233276367E-1,8.216413879E0
2.263333167E0,4.225413208E0,-1.605860596E0,1.139056320E1
2.273384167E0,3.016078033E0,8.231382751E-1,8.649613037E0
2.283435167E0,1.331630859E0,-6.441105652E-1,1.200069443E1
2.293486167E0,-1.237925720E-1,3.082689514E0,7.129973145E0
2.303537167E0,-2.489323425E-1,7.436535645E-1,9.203610992E0
2.313588167E0,-1.606459351E0,2.390079803E0,1.027762756E1
2.323639167E0,1.881587219E-1,2.664159851E0,1.102158051E1
2.333690167E0,-3.185375977E-1,7.180567932E-1,1.019410126E1
2.343741167E0,1.472038879E0,1.642534332E0,6.969057770E0
2.353792167E0,1.914518738E0,8.592132568E-2,1.103400467E1
2.363843167E0,2.411185913E0,1.297052765E0,1.001507355E1
2.373894167E0,3.591930542E0,-8.833131409E-1,9.535770264E0
2.383945167E0,3.165167999E0,2.321672058E-1,1.035112473E1
2.393996167E0,2.724185028E0,3.625460815E-1,8.652606812E0
2.404047292E0,8.845106506E-1,-6.364764404E-1,1.093191696E1
2.414098292E0,1.105750580E0,8.279283142E-1,1.024589355E1
2.424149292E0,1.486408997E0,-9.430389404E-2,9.607770538E0
2.434200292E0,2.383493500E0,2.579136658E-1,1.004590942E1
2.444251292E0,6.518943787E-1,7.605683899E-1,9.465566254E0
2.454302292E0,9.924362183E-2,-2.589614868E-2,1.045590683E1
2.464353292E0,1.020428009E0,9.909393311E-1,8.078251190E0
2.474404292E0,2.213297424E0,1.338067474E0,9.938582611E0
2.484455292E0,4.352947998E-1,-1.078956299E0,1.087383774E1
2.494506292E0,-4.281097412E-1,2.208956451E0,8.271798706E0
2.504557292E0,3.278182983E-2,-7.542814636E-1,1.195099777E1
2.514608292E0,7.520361328E-1,1.900447998E0,7.162305908E0
2.524659292E0,9.271719360E-1,2.095642090E-2,1.080797470E1
2.534710292E0,6.027964783E-1,-4.587959290E-1,8.478069763E0
2.544762292E0,1.888323212E0,2.044747925E-1,1.012614258E1
2.554813292E0,2.334694977E0,1.622625732E-1,8.730295258E0
2.564864292E0,1.623972931E0,-4.167333984E-1,8.708889771E0
2.574915292E0,1.762734375E0,2.784210205E-1,1.165760788E1
2.584966292E0,2.461481323E0,1.332978058E0,8.022267609E0
2.595017292E0,1.594633942E0,-1.296304321E-1,9.142537994E0
2.605068292E0,1.069525909E0,1.036295013E0,1.074779984E1
2.615119292E0,-5.837860107E-3,4.411326599E-1,9.087452545E0
2.625170292E0,-1.328936462E0,1.542542267E0,1.006402176E1
2.635221292E0,3.297642517E-1,1.255888367E-1,9.706714783E0
2.645272292E0,7.885601807E-1,1.609153748E0,8.047265625E0
2.655323292E0,5.074447632E-1,-1.214424591E0,1.123623413E1
2.665374292E0,1.009650421E0,1.750010834E0,8.197253723E0
2.675425292E0,4.686753845E-1,4.743635559E-1,1.077878540E1
2.685476292E0,2.539169769E0,1.772314453E-1,1.030217651E1
2.695527292E0,1.951042786E0,1.693877563E0,9.944420471E0
2.705578292E0,1.511407013E0,3.861968994E-1,7.976762238E0
2.715629292E0,2.814147949E0,3.878434753E-1,1.103280716E1
2.725680292E0,2.087558899E0,1.189426575E0,8.043972473E0
2.735731292E0,3.146756287E0,-1.798360291E0,1.116079102E1
2.745782292E0,2.873724060E0,1.121318207E0,9.428742828E0
2.755833292E0,2.609523468E0,-5.779481506E-1,8.469238129E0
2.765884292E0,1.667981415E0,-1.141226807E0,1.118084930E1
2.775935292E0,1.159937897E0,2.642005920E-1,5.551355896E0
2.785986292E0,3.703298950E0,-5.968089294E-1,1.137529495E1
2.796037292E0,1.179397430E0,4.939727783E-3,9.122928772E0
2.806088292E0,3.406166840E0,-1.035396881E0,1.008677444E1
2.816139292E0,3.005150757E0,5.733078003E-1,1.007599686E1
2.826190292E0,3.561094666E0,-6.436614990E-1,8.738378448E0
2.836241292E0,1.852697296E0,-8.551716614E-1,1.001312759E1
2.846292292E0,3.942052460E0,6.906637573E-1,8.483009491E0
2.856344292E0,1.572929077E0,-2.617007904E0,1.087518494E1
2.866395292E0,2.968926086E0,-1.089584198E0,9.949958954E0
2.876446292E0,3.608845367E0,-1.558259583E-1,8.451724548E0
2.886497292E0,2.368973694E0,-2.304757233E0,8.687783661E0
2.896548292E0,3.077151031E0,-1.218915253E0,1.137828873E1
2.906599292E0,2.632575531E0,-1.144519958E0,8.327782288E0
2.916650292E0,1.654958496E0,-1.029109955E0,9.160800018E0
2.926701292E0,3.737427979E0,-1.873054962E0,1.087383774E1
2.936752292E0,2.187550964E0,-6.439608765E-1,9.486672363E0
2.946803292E0,2.283800812E0,-3.260070648E0,1.206760529E1
2.956854292E0,2.153272247E0,2.314187622E-1,8.171806641E0
2.966905292E0,4.565655670E0,-2.220332794E0,9.342671814E0
2.976956292E0,2.537822571E0,-3.271297302E0,1.038240967E1
2.987007292E0,2.218087463E0,-1.287322998E0,9.681567078E0
2.997058292E0,3.565136261E0,-3.017425232E0,8.958121490E0
3.007109292E0,1.529219971E0,-1.459315338E0,9.990374908E0
3.017160292E0,1.574276276E0,-1.567839661E0,1.100990479E1
3.027211292E0,1.606459351E0,-2.123633881E0,8.704848175E0
3.037262292E0,1.695075073E0,-1.594633942E0,1.012419662E1
3.047313292E0,9.024732971E-1,-1.071920929E0,8.768465881E0
3.057364292E0,2.918930054E-2,-1.622775421E0,1.057850189E1
3.067415292E0,4.745132446E-2,-3.084635468E0,1.015772690E1
3.077466292E0,7.370672607E-1,-1.908680878E0,9.543404388E0
3.087517292E0,1.353784790E0,-2.170336761E0,1.065738785E1
3.097568292E0,3.200344849E-1,-2.354753265E0,8.602760468E0
3.107619292E0,3.725752258E-1,-1.538500671E0,9.200018463E0
3.117670292E0,3.149450684E-1,-1.826950836E0,9.342522125E0
3.127721292E0,5.017565918E-1,-1.935026093E0,1.074779984E1
3.137772292E0,4.222718811E-1,-2.976111145E0,9.141190796E0
3.147823292E0,1.412313080E0,-1.750010834E0,9.274862823E0
3.157874292E0,-1.032852173E0,-2.677931213E0,9.031319275E0
3.167926292E0,4.415817261E-1,-2.376158752E0,1.179951279E1
3.177977292E0,8.825646973E-1,-1.014739838E0,9.246122589E0
3.188028292E0,4.243675232E-1,-5.589227142E0,8.639733582E0
3.198079292E0,1.540296936E-1,-3.149001617E0,1.057685532E1
3.208130292E0,1.339714050E-1,-3.932023315E0,9.225914612E0
3.218181292E0,7.921527100E-1,-4.182751923E0,9.488917694E0
3.228232292E0,-1.655557251E-1,-4.812342682E0,1.098715210E1
3.238283292E0,-6.021977234E-1,-4.635410614E0,8.773704987E0
3.248334292E0,1.002914429E-1,-4.524341583E0,1.070154602E1
3.258385292E0,3.742218018E-1,-4.557422791E0,8.811875610E0
3.268436292E0,6.396199036E-1,-5.364843750E0,1.052027298E1
3.278487292E0,8.318202209E-1,-5.305267639E0,9.080267487E0
3.288538292E0,1.316362610E0,-5.640270996E0,1.101843704E1
3.298589292E0,5.528004456E-1,-5.521567841E0,9.498348083E0
3.308640292E0,1.359173584E-1,-4.675527191E0,9.613907776E0
3.318691292E0,-1.465452576E-1,-4.501588898E0,9.584419098E0
3.328742292E0,-6.935078430E-1,-5.197641449E0,9.645342407E0
3.338793292E0,-3.421884155E-1,-4.099075928E0,1.008602600E1
3.348844292E0,-6.956034851E-1,-3.736230469E0,9.386530609E0
3.358895292E0,-1.035097504E0,-3.757336578E0,9.999206543E0
3.368946292E0,-1.010847931E0,-3.272943878E0,9.694589996E0
3.378997292E0,-6.593788147E-1,-3.690874786E0,9.273216248E0
3.389048292E0,1.456471252E-1,-3.520529022E0,9.847721558E0
3.399099292E0,3.852987671E-1,-3.996539154E0,1.053060150E1
3.409150292E0,1.178050232E-1,-3.323538666E0,9.514215088E0
3.419201292E0,1.489402771E-1,-2.925067291E0,9.205407257E0
3.429252292E0,3.369493103E-1,-2.157164154E0,9.821376343E0
3.439303292E0,-5.688171387E-3,-1.492845612E0,9.340875549E0
3.449354292E0,-1.673519897E-1,-1.599873047E0,1.008048752E1
3.459405292E0,-4.236190796E-1,-2.197430420E0,1.001073257E1
3.469456292E0,-5.387297058E-1,-2.307751007E0,9.729766846E0
3.479507292E0,-5.254074097E-1,-2.163151703E0,9.669741669E0
3.489558292E0,-6.038442993E-1,-2.095193024E0,9.813592529E0
3.499609292E0,-5.836363220E-1,-1.988015900E0,9.772877197E0
