"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.323718292E0,3.939270973E-2,-8.735049516E-2,-2.503522635E-1
3.333769292E0,2.762305364E-2,-4.622702673E-2,-2.348821163E-1
3.343820292E0,-1.130250655E-2,-9.075880796E-2,-2.223095894E-1
3.353871292E0,-6.123010535E-3,1.414611842E-2,-2.194985896E-1
3.363922292E0,-9.152622893E-3,2.068657801E-2,-1.916464567E-1
3.373973292E0,1.283650845E-2,-1.260412578E-2,-1.744987965E-1
3.384024292E0,1.774551347E-2,8.181047626E-3,-1.443563402E-1
3.394075292E0,9.865276515E-3,1.774804294E-2,-8.627317101E-2
3.404126292E0,-1.927529834E-2,4.505822808E-2,-3.594341874E-2
3.414177292E0,-9.647691622E-3,-2.054299414E-2,2.800478786E-2
3.424228292E0,2.103032544E-2,8.288120851E-3,6.651383638E-2
3.434279292E0,1.905728504E-2,-2.437519655E-2,1.020429507E-1
3.444330292E0,5.300992168E-3,1.765861176E-3,1.199985147E-1
3.454381292E0,-5.156837404E-3,-6.879249588E-3,1.414424181E-1
3.464432292E0,1.337984577E-4,-6.443024147E-3,1.548791379E-1
3.474483292E0,1.438432373E-3,-5.069673061E-3,1.601847410E-1
3.484534292E0,8.794339374E-5,1.052135602E-3,1.678850055E-1
3.494585292E0,5.592745729E-4,1.000138000E-4,1.728191078E-1
3.504636292E0,-1.005075872E-2,-1.396983862E-5,1.777507514E-1
3.514687292E0,-2.700112760E-3,-1.368329860E-3,1.983483285E-1
3.524738292E0,1.203548629E-3,-1.028510742E-3,2.174722254E-1
3.534789292E0,-7.373175584E-3,-1.185001805E-3,2.288077921E-1
3.544841292E0,-4.947036039E-3,-8.718147874E-4,2.376308441E-1
3.554892292E0,-4.066517577E-3,-1.424850896E-3,2.397022843E-1
3.564943292E0,-6.086525507E-3,3.514247946E-3,2.371323258E-1
3.574994292E0,-2.475684509E-3,2.182092518E-3,2.232328802E-1
3.585045292E0,-5.269872956E-3,5.634231493E-4,2.056682706E-1
3.595096292E0,-2.244515112E-3,-2.135341987E-3,1.900312006E-1
3.605147292E0,-4.627511837E-3,2.687796950E-5,1.719211787E-1
3.615198292E0,-6.231553853E-3,-4.572654143E-4,1.550999880E-1
3.625249292E0,-4.516477697E-3,-6.623286754E-4,1.315597743E-1
3.635300292E0,-7.340166252E-3,-5.111200735E-4,1.134290993E-1
3.645351292E0,-1.240816154E-2,-6.796978414E-4,8.570212871E-2
3.655402292E0,-1.902967505E-2,-6.121378392E-4,6.328455359E-2
3.665453292E0,-2.046485245E-2,-3.467844799E-3,3.610326722E-2
3.675504292E0,-2.225124650E-2,-2.397930250E-3,1.664184779E-2
3.685555292E0,-1.849272661E-2,1.685494557E-3,4.942846950E-3
3.695606292E0,-6.854746956E-3,3.642507829E-3,-2.066361019E-3
3.705657292E0,-2.394484589E-3,5.781027488E-3,2.981394529E-3
3.715708292E0,-3.613611916E-3,8.398192003E-4,-8.982300642E-4
3.725759292E0,-1.540607307E-3,4.342408851E-3,-5.948915146E-3
3.735810292E0,1.160589047E-3,-2.041822299E-4,-1.589256711E-2
3.745861292E0,1.283478923E-4,1.154828817E-3,-1.646115258E-2
3.755912292E0,-4.277251195E-3,8.081076667E-4,-1.993251592E-2
3.765963292E0,2.421331592E-4,2.890573815E-4,-2.402153239E-2
