"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.144485667E0,-1.119505278E0,7.352462916E-1,7.828837037E-1,1.551381987E0
2.154537667E0,-4.761221060E0,1.940460933E0,-2.141174358E0,5.569492100E0
2.164588667E0,-1.191785122E0,-1.543278285E-1,-1.170004463E0,1.677223688E0
2.174640667E0,-8.220226264E0,-1.965424597E0,-3.462547447E0,9.133687563E0
2.184691667E0,-4.419073575E0,7.399853137E-1,2.141345682E0,4.965999482E0
2.194743667E0,-6.007452750E0,3.355057424E-1,-1.307466656E-1,6.018234570E0
2.204794667E0,-4.666566041E0,2.200582362E0,-1.349069595E0,5.332859469E0
2.214845667E0,-3.103628393E0,1.710047161E0,2.021499395E-1,3.549314736E0
2.224897667E0,-4.162925184E0,1.464049682E0,-5.807308406E-1,4.450914049E0
2.234948667E0,-2.842686162E0,-1.186715367E0,-3.737557787E-1,3.103039053E0
2.245000667E0,-3.031307399E0,3.797121180E-1,-2.095460826E0,3.704586605E0
2.255051667E0,-3.032441174E0,8.027688416E-1,3.912564951E0,5.014808250E0
2.265102667E0,-1.462029908E0,7.300679974E-1,-2.360581770E0,2.871041105E0
2.275154667E0,-1.983989653E0,1.658307196E0,4.023755604E-1,2.616888189E0
2.285205667E0,7.467631868E-1,2.140600600E0,1.028565579E0,2.489532755E0
2.295257667E0,-3.050567835E0,1.190281237E-1,-2.397719191E0,3.881905348E0
2.305308667E0,-1.230623644E-1,1.047139990E0,1.874377602E0,2.150566879E0
2.315360667E0,-4.506436239E0,2.521495171E-1,-3.682961749E0,5.825440259E0
2.325411667E0,-1.136454090E0,-4.549323081E-1,2.865274833E0,3.115813084E0
2.335462667E0,-4.804248089E0,-5.391211038E-1,-1.775003003E0,5.149959895E0
2.345514667E0,2.018460597E0,-6.360229889E-1,2.062196016E-2,2.116396393E0
2.355565667E0,-1.539481980E0,-1.422754891E0,2.494656086E-2,2.096391800E0
2.365617667E0,2.949157527E0,-2.916616310E0,3.978229183E-1,4.166826598E0
2.375668667E0,-1.427676931E0,-3.989046240E0,2.182315367E-1,4.242449331E0
2.385720667E0,-1.871346113E0,-3.961738573E0,1.180427125E0,4.537699527E0
2.395771667E0,-4.707182847E0,-3.981023860E0,-5.003479975E-1,6.185181440E0
2.405822667E0,-4.589750292E0,-3.958167971E0,2.861855382E-1,6.067520382E0
2.415874667E0,-2.313290952E0,-3.109173893E0,-3.777020645E-1,3.893704685E0
2.425925667E0,-2.852227649E0,-3.051750727E0,-1.131865999E0,4.327759894E0
2.435977667E0,-2.292940302E-1,-2.836028523E0,3.877247769E-1,2.871578666E0
2.446028667E0,1.461022579E-1,-3.268237454E0,-5.981660682E-1,3.325736696E0
2.456079667E0,4.647964513E-1,-3.388492461E0,-3.850718951E-1,3.441830510E0
2.466131667E0,4.651454204E-1,-3.625962214E0,1.593341122E0,3.987818724E0
2.476182667E0,2.048122938E0,-2.169138959E0,-2.329641813E0,3.785129109E0
2.486234667E0,3.631472119E-1,-4.804557991E0,1.473787197E0,5.038621051E0
2.496285667E0,2.194451848E0,-4.198307855E0,-1.584605967E0,4.995236114E0
2.506337667E0,2.258263828E0,-7.055444534E0,2.495902712E0,7.817197927E0
2.516388667E0,-8.132281217E-1,-6.212713408E0,-3.726899482E0,7.290331105E0
2.526439667E0,4.749205032E0,-7.112911554E0,2.359188963E0,8.872104135E0
2.536491667E0,1.415964666E0,-6.726441590E0,-2.027119154E0,7.166532248E0
2.546542667E0,3.343292899E0,-5.618851476E0,-1.683758372E-1,6.540447212E0
2.556594667E0,5.262859538E0,-3.804368073E0,5.605912757E-1,6.518064861E0
2.566645667E0,5.219721120E0,-2.225355552E0,-6.497309089E-1,5.711378657E0
2.576697667E0,4.408383695E0,-1.251980088E0,4.214193571E-1,4.602053370E0
2.586748667E0,5.562835150E0,-2.747760490E-1,-6.248919368E-1,5.604563026E0
2.596799667E0,4.827271793E0,-5.735924501E-1,-1.470619175E0,5.078807145E0
2.606851667E0,1.757786461E0,-1.391210935E-1,1.323344770E0,2.204633598E0
2.616902667E0,4.357214127E0,-6.802536669E-1,-1.478668453E0,4.651292335E0
2.626954667E0,5.093204038E-1,4.571472700E-1,3.199529162E0,3.271907358E0
2.637005667E0,1.641929876E0,1.668539678E0,-6.129501683E-1,2.419848401E0
2.647056667E0,3.565257298E0,2.145497497E0,-3.834498775E-1,4.178666405E0
2.657108667E0,4.006676618E-1,4.142540913E0,3.766478115E-1,4.178880635E0
2.667159667E0,3.986521119E0,5.515793130E0,4.156692052E-1,6.818291970E0
2.677211667E0,7.119609247E-1,4.749902020E0,-1.473463261E-1,4.805223044E0
2.687262667E0,-2.280509853E0,5.307006601E0,-9.096150863E-1,5.847430535E0
2.697314667E0,-1.300954904E0,1.994777620E0,-1.514183271E-1,2.386325402E0
2.707365667E0,-6.479249963E0,1.055611583E0,-1.149057983E0,6.664482737E0
2.717416667E0,-4.380097205E0,3.988113901E-1,4.691998798E-1,4.423172004E0
2.727468667E0,-3.391510209E0,9.532875563E-2,9.519419110E-1,3.523864707E0
2.737519667E0,-5.681402065E0,-3.937479572E-1,-1.300527180E0,5.841638283E0
2.747571667E0,1.623912485E-1,-1.520549135E0,1.101562804E-1,1.533158503E0
2.757622667E0,-2.994412345E0,-1.426769882E0,3.661216539E-1,3.337097939E0
2.767673667E0,1.191561320E0,-9.103978092E-1,-1.363222196E0,2.026577733E0
2.777725667E0,-9.654159424E-1,-3.118566568E0,1.056150988E0,3.431171854E0
2.787776667E0,1.108643051E-1,-2.426198201E0,-9.888647389E-1,2.622323793E0
2.797828667E0,-1.097117458E0,-4.378641248E0,2.233015405E0,5.036121891E0
2.807879667E0,-1.992204260E0,-3.717685147E0,-2.279907736E0,4.794584440E0
2.817931667E0,-2.118495347E0,-3.918276219E0,-1.370196170E0,4.660294906E0
2.827982667E0,-3.823111615E0,-4.080149660E0,1.302125809E0,5.741022147E0
2.838033667E0,-1.553075149E0,-2.704567912E0,-9.428693712E-2,3.120195512E0
2.848085667E0,-2.436764558E0,-3.856722580E0,-2.800518090E-1,4.570619169E0
2.858136167E0,-7.393632431E-1,-2.505281062E0,-3.052819598E-1,2.629883700E0
2.868188167E0,-7.310586619E-1,-4.929044920E0,-6.286417562E-1,5.022461652E0
2.878239167E0,1.453616715E-1,-5.488188425E0,4.324197239E-1,5.507116217E0
2.888290167E0,-2.532530841E0,-8.027286274E0,7.676066834E-1,8.452233870E0
2.898342167E0,-1.931243675E0,-7.069239870E0,-5.708882225E-1,7.350494394E0
2.908393167E0,-4.149814557E0,-6.890351908E0,-5.925878245E-1,8.065300404E0
2.918445167E0,-2.860251490E0,-7.402441700E0,-8.685378116E-1,7.983203595E0
2.928496167E0,-2.738954802E0,-6.564177262E0,-1.907186329E-1,7.115242100E0
2.938548167E0,-3.200352158E0,-6.792622715E0,-5.400956154E-2,7.508987569E0
2.948599167E0,-2.145465922E0,-6.488333613E0,-1.598622327E0,7.018339578E0
2.958650167E0,-1.967248929E0,-3.469905876E0,-3.480297840E-1,4.003928054E0
2.968702167E0,-1.671736643E0,-3.554524442E0,1.555792058E0,4.224906666E0
2.978753167E0,-1.551329755E0,-2.120447294E0,1.038000062E0,2.824953958E0
2.988805167E0,-2.726818614E0,-7.471614553E-1,-1.608489504E0,3.252849286E0
2.998856167E0,-1.242646616E0,-1.667513638E0,1.431085566E0,2.524436222E0
3.008908167E0,-1.184738423E0,-1.666745167E0,-1.137403312E0,2.339942495E0
3.018959167E0,-9.195653663E-1,-1.900253578E0,1.651733172E-1,2.117509468E0
3.029010167E0,-3.713214366E-1,-1.753893677E0,-4.638748205E-1,1.851810598E0
3.039062167E0,7.609849309E-1,-1.763175438E-1,4.630936325E-2,7.825154941E-1
3.049113167E0,7.277326195E-1,-1.555132784E-2,1.644184417E-1,7.462372500E-1
3.059165167E0,1.633298655E0,5.282935953E-1,-2.684761931E0,3.186644826E0
3.069216167E0,1.028093270E0,-1.457869906E0,2.170029198E0,2.809161291E0
3.079267167E0,1.732951144E0,-9.603631441E-1,-1.166348199E0,2.299083547E0
3.089319167E0,1.885308680E0,-3.694227872E0,9.475313562E-1,4.254353542E0
